0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
1,999999,49,41,999999,33,999999,999999,999999,999999,999999,999999,999999,999999,999999,31,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,53,999999,13,6,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,29,999999,42,999999,999999,999999,9,999999,999999,174,999999,999999,999999,999999,999999,999999,84,999999,999999,97,999999,999999,999999,999999,999999,999999,13,13,999999,37,999999,999999,243,999999,999999,1552,50,999999,999999,999999,999999,999999,999999,999999,999999,50,20,999999,999999,21,29,999999,59,999999,10,46,999999,117
2,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,49,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,90,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,54,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1008,999999,999999,999999,999999,46,999999,999999,999999,999999,999999,999999,999999,204,999999,91,999999,999999,178,999999,999999,999999,999999,999999,999999,999999,999999
3,999999,999999,999999,999999,168,6,999999,999999,999999,11,33,999999,999999,999999,999999,999999,999999,82,999999,999999,999999,999999,999999,999999,999999,999999,373,999999,999999,999999,999999,999999,999999,999999,999999,61,999999,999999,24,999999,999999,999999,999999,999999,336,999999,999999,999999,999999,999999,999999,22,123,105,53,28,245,999999,110,65,999999,127,62,126,28,63,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,54,999999,999999,999999,999999,999999,14,999999,76,59,999999,273,429,350,89,999999,999999,999999,999999,12,999999,999999,999999,999999,65,999999,999999,999999,80,52,288
4,999999,999999,999999,999999,134,297,999999,999999,999999,168,185,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,126,999999,999999,155,130,139,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,21,65,114,132,155,198,250,116,476,999999,96,86,141,159,69,999999,999999,999999,999999,999999,999999,22,198,999999,999999,157,999999,999999,999999,999999,999999,190,999999,999999,125,999999,275,272,213,363,999999,999999,999999,999999,39,999999,999999,184,999999,153,999999,999999,999999,241,136,296
5,999999,7,620,999999,35,999999,999999,999999,113,22,71,230,146,999999,213,999999,370,999999,24,999999,999999,999999,999999,999999,999999,999999,999999,26,16,17,5,1145,999999,999999,999999,999999,999999,999999,28,999999,999999,999999,11,788,999999,999999,999999,51,999999,39,999999,43,999999,70,999999,717,33,1750,49,999999,999999,999999,999999,999999,13,37,999999,999999,70,999999,999999,999999,999999,85,25,16,36,999999,23,999999,60,32,999999,18,108,29,672,999999,999999,52,999999,999999,999999,18,78,34,88,999999,15,1058,999999,999999,999999,999999,13,28,6
6,999999,999999,999999,999999,999999,999999,123,999999,999999,999999,92,999999,999999,999999,24,999999,999999,999999,999999,999999,228,999999,109,219,63,999999,999999,125,999999,999999,999999,999999,999999,999999,318,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,7,999999,999999,999999,999999,999999,20,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,12,999999,999999,999999,312,999999,999999,999999,611,999999,91,999999,138,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,25,999999
7,999999,91,960,999999,999999,999999,999999,999999,999999,999999,999999,36,143,999999,7,999999,2532,999999,35,999999,999999,999999,999999,999999,999999,999999,999999,45,999999,2522,55,28,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,98,13,999999,999999,96,999999,45,999999,73,152,8,196,177,999999,34,225,999999,999999,1157,999999,95,999999,85,999999,999999,21,8,999999,25,999999,999999,23,17,78,999999,57,173,189,23,999999,45,67,57,33,999999,22,75,999999,999999,999999,184,10,36,40,999999,31,58,999999,999999,999999,147,88,120,38
8,384,999999,999999,999999,451,999999,999999,999999,999999,387,97,999999,999999,999999,999999,999999,999999,157,999999,999999,999999,999999,999999,999999,999999,999999,446,999999,999999,249,58,40,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,15,999999,999999,999999,999999,999999,999999,999999,999999,43,258,141,308,326,245,306,116,56,999999,61,41,144,103,16,999999,999999,999999,999999,999999,999999,255,999999,999999,999999,152,999999,999999,999999,23,999999,999999,999999,9,148,999999,204,140,380,255,999999,999999,999999,999999,23,999999,999999,999999,999999,121,999999,999999,999999,478,162,184
9,999999,424,31,999999,89,999999,999999,999999,999999,148,128,999999,999999,999999,40,66,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,220,999999,999999,999999,999999,999999,85,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,172,999999,999999,999999,999999,999999,999999,999999,999999,100,60,99,95,144,999999,26,317,999999,74,137,352,234,17,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,189,999999,999999,999999,999999,999999,68,999999,999999,114,143,215,190,109,528,999999,999999,999999,999999,999999,999999,999999,1582,999999,105,999999,999999,999999,265,223,306
10,999999,999999,999999,999999,189,376,7,999999,999999,136,290,999999,999999,999999,82,999999,183,999999,999999,999999,999999,999999,999999,999999,999999,999999,38,999999,999999,177,205,76,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,276,451,56,183,89,30,198,171,244,999999,999999,73,54,88,124,999999,999999,7,999999,999999,999999,999999,999999,999999,999999,113,90,999999,999999,999999,443,999999,62,5,7,111,999999,217,320,131,284,999999,999999,999999,999999,52,999999,999999,999999,999999,319,999999,999999,999999,48,123,137
